Item Group,Parent Item Group,Is Group,Item Group Name,Description,Tags,Level,Category ID,Parent Category ID
Bells & Beads,Bird Toys,0,Bells & Beads,,,2,ap-2-1-6-2,ap-2-1-6
Chew Toys,Bird Toys,0,Chew Toys,,,2,ap-2-1-6-3,ap-2-1-6
Foraging Toys,Bird Toys,0,Foraging Toys,,,2,ap-2-1-6-4,ap-2-1-6
Mirrors,Bird Toys,0,Mirrors,,,2,ap-2-1-6-5,ap-2-1-6
Puzzles & Interactive Toys,Bird Toys,0,Puzzles & Interactive Toys,,,2,ap-2-1-6-7,ap-2-1-6
Ropes & Knots,Bird Toys,0,Ropes & Knots,,,2,ap-2-1-6-8,ap-2-1-6
Tunnels & Tubes,Bird Toys,0,Tunnels & Tubes,,,2,ap-2-1-6-9,ap-2-1-6
Balls & Fetch Toys,Animals & Pet Supplies,0,Balls & Fetch Toys,,,1,ap-2-1-6-1,
Bells & Beads,Animals & Pet Supplies,0,Bells & Beads,,,1,ap-2-1-6-2,
Chew Toys,Animals & Pet Supplies,0,Chew Toys,,,1,ap-2-1-6-3,
Foraging Toys,Animals & Pet Supplies,0,Foraging Toys,,,1,ap-2-1-6-4,
Mirrors,Animals & Pet Supplies,0,Mirrors,,,1,ap-2-1-6-5,
Puzzles & Interactive Toys,Animals & Pet Supplies,0,Puzzles & Interactive Toys,,,1,ap-2-1-6-7,
Ropes & Knots,Animals & Pet Supplies,0,Ropes & Knots,,,1,ap-2-1-6-8,
Tunnels & Tubes,Animals & Pet Supplies,0,Tunnels & Tubes,,,1,ap-2-1-6-9,
Bird Treats,Animals & Pet Supplies,0,Bird Treats,,,1,ap-2-1-7,
Cat Supplies,Animals & Pet Supplies,1,Cat Supplies,,,1,ap-2-2,
Cat Food,Cat Supplies,0,Cat Food,,,2,ap-2-2-1,ap-2-2
Cat Furniture,Cat Supplies,0,Cat Furniture,,,2,ap-2-2-2,ap-2-2
Cat Furniture Accessories,Cat Supplies,0,Cat Furniture Accessories,,,2,ap-2-2-3,ap-2-2
Cat Litter,Cat Supplies,0,Cat Litter,,,2,ap-2-2-4,ap-2-2
Cat Toys,Cat Supplies,0,Cat Toys,,,2,ap-2-2-5,ap-2-2
Cat Treats,Cat Supplies,0,Cat Treats,,,2,ap-2-2-6,ap-2-2
Cat Food,Animals & Pet Supplies,1,Cat Food,,,1,ap-2-2-1,
Non-Prescription Cat Food,Cat Food,0,Non-Prescription Cat Food,,,2,ap-2-2-1-1,ap-2-2-1
Prescription Cat Food,Cat Food,0,Prescription Cat Food,,,2,ap-2-2-1-2,ap-2-2-1
Non-Prescription Cat Food,Animals & Pet Supplies,0,Non-Prescription Cat Food,,,1,ap-2-2-1-1,
Prescription Cat Food,Animals & Pet Supplies,0,Prescription Cat Food,,,1,ap-2-2-1-2,
Cat Furniture,Animals & Pet Supplies,1,Cat Furniture,,,1,ap-2-2-2,
Cat Condos & Houses,Cat Furniture,0,Cat Condos & Houses,,,2,ap-2-2-2-1,ap-2-2-2
Cat Perches & Shelves,Cat Furniture,0,Cat Perches & Shelves,,,2,ap-2-2-2-2,ap-2-2-2
Cat Scratchers & Scratching Posts,Cat Furniture,0,Cat Scratchers & Scratching Posts,,,2,ap-2-2-2-3,ap-2-2-2
Cat Steps & Ramps,Cat Furniture,0,Cat Steps & Ramps,,,2,ap-2-2-2-4,ap-2-2-2
Cat Trees & Towers,Cat Furniture,0,Cat Trees & Towers,,,2,ap-2-2-2-5,ap-2-2-2
Cat Window Beds & Perches,Cat Furniture,0,Cat Window Beds & Perches,,,2,ap-2-2-2-6,ap-2-2-2
Outdoor Cat Houses,Cat Furniture,0,Outdoor Cat Houses,,,2,ap-2-2-2-7,ap-2-2-2
Cat Condos & Houses,Animals & Pet Supplies,0,Cat Condos & Houses,,,1,ap-2-2-2-1,
